"S","PropError","TransRateError","propRareSample","DOS","TotalTransitions","minSampleSize","SampleSize","AverageDurationError","TruePropRare","AverageDuration","Ant","TaskNumber"
2,0.263506040579706,1.30300889277098e-05,0.498106060606061,0.654707454034961,112,2208.2,526,175107.035477048,0.799927542795037,88.9685570909255,5,8
2,0.0204730241669171,2.09381230522614e-05,0.943181818181818,0.823419527216738,201,334.575757575758,526,550.588135073676,0.651209129607825,31.3558501631184,6,6
2,0.199401867861608,7.89144086258563e-05,0.390151515151515,0.665123177248438,417,1380.125,526,595.160781681187,0.390816049270899,24.0353798961542,7,6
2,0.185717772808101,4.04172294870825e-05,0.731060606060606,0.556278869667603,266,408.925925925926,526,25644.7349945731,0.637623403677203,46.833896440778,8,8
2,0.0475069402750415,0.00035833925903766,0.263257575757576,0.500158500135857,497,581.105263157895,526,16039.4316171033,0.488633275971379,32.4706419782873,9,9
4,0.0359446451838817,0.000335488311178561,0.488721804511278,0.44780816954986,345,552.05,526,7236.65589434073,0.555475047550041,38.2951084989572,1,8
4,0.0349267959757947,0.000244575672514271,0.496240601503759,0.496694140023549,436,69.00625,526,2148.55755004703,0.567611629381397,40.56269367177,2,7
4,0.110947101678888,0.0001310737373178,0.496240601503759,0.579227425052079,423,56.9123711340206,526,14215.1182219683,0.548863327597138,36.4858087501349,3,7
4,0.0796450287863453,0.000211235477047514,0.366541353383459,0.446200525314736,554,160.014492753623,526,6442.4181080104,0.453944389095191,25.888764490278,4,8
4,0.12658525326116,1.96199335093078e-05,0.81390977443609,0.654707454034961,112,2208.2,526,134980.864118754,0.799927542795037,88.9685570909255,5,8
4,0.00501338862946552,1.94854932723747e-05,0.819548872180451,0.823419527216738,201,334.575757575758,526,3093.55609650122,0.651209129607825,31.3558501631184,6,6
4,0.0114347619353758,3.79984960760498e-05,0,0.665123177248438,417,1380.125,526,240.314955010966,0.390816049270899,24.0353798961542,7,6
4,0.19899861829357,3.36636025886781e-05,0.24812030075188,0.556278869667603,266,408.925925925926,526,19753.4341912239,0.637623403677203,46.833896440778,8,8
4,0.109929241827101,0.000405295656813031,0,0.500158500135857,497,581.105263157895,526,15069.4728115891,0.488633275971379,32.4706419782873,9,9
8,0.0166813069753644,0.000107910118194052,0,0.44780816954986,345,552.05,526,8406.94042539288,0.555475047550041,38.2951084989572,1,8
8,0.0375259075007153,7.70139676607778e-05,0.246268656716418,0.496694140023549,436,69.00625,526,12863.545078901,0.567611629381397,40.56269367177,2,7
8,0.0437910302358515,0.000194172367463275,0.246268656716418,0.579227425052079,423,56.9123711340206,526,11076.1419493528,0.548863327597138,36.4858087501349,3,7
8,0.112722886821581,0.00018457805123194,0,0.446200525314736,554,160.014492753623,526,4125.92504914544,0.453944389095191,25.888764490278,4,8
8,0.183603257425287,7.54769622510234e-06,0.955223880597015,0.654707454034961,112,2208.2,526,169766.762061205,0.799927542795037,88.9685570909255,5,8
8,0.00224826832883966,1.29060118686844e-05,0.835820895522388,0.823419527216738,201,334.575757575758,526,6184.34597945852,0.651209129607825,31.3558501631184,6,6
8,0.0186369594806052,7.12029152378201e-05,0,0.665123177248438,417,1380.125,526,1472.79414517128,0.390816049270899,24.0353798961542,7,6
8,0.0324304268277343,5.18393712342865e-05,0.246268656716418,0.556278869667603,266,408.925925925926,526,17839.8148169819,0.637623403677203,46.833896440778,8,8
